p,offset,b,c
1201,47,8,39
2521,55,12,483
3049,71,11,8580
3361,39,25,170
3889,95,12,83
5569,143,10,7140
9241,239,10,1185
12721,271,12,9744
14449,371,10,7410
16921,439,10,868
18481,479,10,948
19441,499,10,9970
19681,635,8,40632
20161,519,10,2585
20521,663,8,5296
21001,539,10,10770
21169,683,8,43704
21529,695,8,11112
21841,327,17,5542
22369,479,12,1904
24481,527,12,1042
26041,367,18,29709
29569,351,22,680
31081,799,10,3985
32089,823,10,41140
33289,215,39,36296
33961,871,10,43540
35401,1143,8,9136
39769,1283,8,82104
43969,803,14,3198
44809,1151,10,5745
47041,1095,11,12034
47569,1535,8,24552
47881,1031,12,1019
48049,1551,8,12400
48889,515,24,32936
51361,1319,10,6585
52201,1339,10,26770
53089,559,24,80472
54121,919,15,8256
56401,959,15,4780
58129,1491,10,29810
58921,1511,10,75540
59809,1391,11,168300
59929,1031,15,1016
61681,887,18,869
64849,1663,10,83140
65881,839,20,3336
66361,1415,12,5648
66529,1711,10,3412
66889,443,38,639654
68161,2207,8,2199
69001,727,24,26148
70849,1007,18,1996
70921,1819,10,36370
76441,535,36,43299
77641,1991,10,99540
81769,1487,14,72849
82009,2103,10,105140
83449,1415,15,35360
85009,895,24,128856
85201,1079,20,43140
85369,2191,10,10945
86209,2783,8,11124
86689,2223,10,111140
87481,2823,8,22576
88321,2055,11,22594
90841,551,42,3264
91249,1943,12,15532
92761,2379,10,47570
93601,1319,18,35595
94441,3047,8,48744
96769,2059,12,296484
97441,2499,10,49970
97729,2511,10,5012
99409,3215,8,3207
99961,2127,12,153132
101641,3287,8,3279
101929,1079,24,4292
102841,2639,10,13185
105529,2711,10,5412
106801,2739,10,54770
107209,2751,10,13745
107641,2291,12,36644
111049,2375,12,2363
112249,3623,8,14484
112921,1919,15,5742
116041,2471,12,14814
116881,2999,10,14985
117889,3803,8,243384
118801,999,30,44925
121081,1019,30,20350
123169,2243,14,8958
124489,2267,14,9054
125329,4043,8,258744
127681,4127,8,4119
129361,4175,8,16692
129529,2759,12,11024
132001,2239,15,20136
135601,3479,10,17385
137209,3191,11,386100
140281,3599,10,17985
141121,3619,10,72370
141961,1799,20,17970
142969,3671,10,7332
144169,755,48,193232
146449,3119,12,12464
148201,1439,26,243165
149689,3191,12,6370
150889,3871,10,19345
151561,2135,18,115272
153001,2155,18,698202
154081,3951,10,197540
155521,3311,12,19854
155689,2831,14,138705
157081,2663,15,66560
158449,4063,10,203140
159721,3399,12,61170
160441,4119,10,8228
162289,3455,12,20718
162649,5255,8,5247
163249,4191,10,8372
167521,647,65,210210
169009,3599,12,14384
170641,3631,12,130704
170689,3107,14,12414
171481,4399,10,21985
171529,3119,14,152817
172321,5567,8,5559
172489,4423,10,221140
174241,1223,36,9748
176089,2231,20,22290
176401,1391,32,22224
177601,4559,10,9108
178609,3251,14,12990
178921,3807,12,274092
179041,4591,10,229540
181729,1919,24,7652
184969,5975,8,5967
185089,4751,10,9492
185641,2615,18,141192
186649,6023,8,24084
187441,6047,8,96744
188281,4007,12,48072
194569,4991,10,24945
196081,4175,12,16688
196561,2951,17,2934
196681,4575,11,50314
197089,3587,14,14334
198529,5091,10,101810
200929,2999,17,866694
201049,4279,12,38499
202129,5183,10,259140
203449,6563,8,420024
206641,5299,10,105970
207169,6683,8,427704
210169,5391,10,26945
210961,1327,40,265360
211129,4911,11,54010
212881,5459,10,109170
213361,5471,10,273540
213481,6887,8,110184
213721,3623,15,90560
214729,6935,8,6927
215329,4583,12,36652
217561,5579,10,111570
217681,7023,8,56176
219409,5631,10,11252
220369,5651,10,113010
223129,3143,18,169704
223969,5743,10,287140
224401,7247,8,7239
225289,811,70,16150
226129,7295,8,116712
229681,4887,12,351852
231289,7463,8,29844
231841,7487,8,7479
231961,1479,40,2918
232681,4951,12,178224
233689,1471,40,47032
236329,1991,30,11916
240769,7775,8,7767
242449,7823,8,31284
244561,6271,10,313540
246241,6319,10,12628
